source,target,value,recipient_type,year
General Electoral Trust,Biju Janata Dal,80000000,party,2013
Satya Electoral Trust,Bharatiya Janata Party,413720000,party,2013
Satya Electoral Trust,Indian National Congress,365000000,party,2013
Satya Electoral Trust,Rashtriya Janata Dal,10000000,party,2013
"Unknown, probably Birla Group",General Electoral Trust,80000000,trust,2013
Akhil Gupta,Satya Electoral Trust,20000000,trust,2013
Bharti Airtel Ltd,Satya Electoral Trust,280040000,trust,2013
Bharti Infratel Ltd,Satya Electoral Trust,60040000,trust,2013
Chambal Fertilizer & Chemicals Ltd,Satya Electoral Trust,20020000,trust,2013
DCM Shriram Ltd,Satya Electoral Trust,20000000,trust,2013
DLF Ltd,Satya Electoral Trust,200050000,trust,2013
GMMCO Ltd,Satya Electoral Trust,20015000,trust,2013
Hero Motocorp Ltd,Satya Electoral Trust,110040000,trust,2013
Interglobe Aviation Ltd,Satya Electoral Trust,40040000,trust,2013
Jubilant Foodworks Ltd,Satya Electoral Trust,25000000,trust,2013
Jubilant Life Sciences Ltd,Satya Electoral Trust,38800000,trust,2013
National Engineering Industries Ltd,Satya Electoral Trust,20015000,trust,2013
